"id","premise","hypothesis","trial","response","confusing","confusing_reason","type","Answer.condition","Answer.time_in_minutes","anon_id"
"494"," I agree with them. I think there's much better human beings than me, but I decided, I don't know, a few years after my son died, I decided that I didn't want my son to have lived in vain.","I am a human being.",26,"100.00",0,"","target-original",1,8.5611,119
"1663",""" I try to stop my sneakers from sliding. Water gets closer, stinging mist. I'm not falling toward it.","I was upright just before then.",22,"50.45",0,"","target-negated",1,8.70475,119
"2049"," And remember simple stretching exercises before and after a round of golf. But many experienced runners prefer to jog easily first for a half-mile or so before stopping to stretch: Jogging first warms the muscles.","Many experienced runners stop to stretch",12,"100.00",0,"","target-original",1,8.70475,119
"875"," Spokane, Wash., is as far as you can get from Rock Hill, S.C., and still be In the NCAA Tournament just ask Rock Hill Herald reporters Gary McCann and Andrew Dys, who drove all 2,638.9 miles to cover Winthrop-but for one weekend it wasn't the Eagles who owned this town.","Someone owned this town for one weekend.",11,"50.75",0,"","target-negated",1,8.70475,119
"1791","""But what's your name, boy?"" she asked again. She continued to smile.","She had previously been smiling",21,"100.00",0,"","target-original",1,8.70475,119
"266","Syria joined the ITC in 1983 whereupon Turkey, Syria and Iraq held sixteen meetings until 1993. the riparians failed to empower the JTC with either a clear or jointly agreed mandate.","the riparians made the effort to empower the JTC with either a clear or jointly agreed mandate.",25,"74.31",0,"","target-original",1,8.70475,119
"1086","( Voiceover ) And she recently figured out a way to get around. While Brooke isn't capable of speaking, she doesn't manage to let her thoughts be known.","It takes effort for Brooke to let her thoughts be known.",7,"71.14",0,"","target-negated",1,8.82051666666667,119
"169"," EVE # I don't know exactly what you always tell me:","You always tell me something.",17,"80.25",0,"","target-negated",1,10.58195,119
"136150c_filler","Probably one of the first ones that was ever read to me the first one I can remember is my cousins Mary and Glenda reading Trumpet the Dog.","I don't remember anyone reading Trumpet the Dog to me.",14,"0.00",0,"","filler",1,8.70475,119
"1510"," Oops! I did not forget to say that when you begin, you each have thirty-six marbles.","I was supposed to say that when you begin, you each have thirty-six marbles.",5,"99.06",0,"","target-negated",1,10.58195,119
"295","<strong>Speaker A</strong>: And this dynamic of like what is it mean to make something--I would suggest that to make something is brilliant as the light bulb. You need a bit of all three characteristics we were discussing.","We were discussing three characteristics.",10,"100.00",0,"","target-original",1,8.82051666666667,119
"151"," Giving me a thumbs-up. And then all of the sudden Hugh started coughing in an embarrassing manner.","Hugh wasn't coughing in an embarrassing manner earlier.",11,"95.65",0,"","target-original",1,8.82051666666667,119
"24078c_filler","More generally, feminists reveal and question implied norms in language and hence in our consciousness, ranging from the application form's unmarried which suggests that marriage is the normal state (as parents of twins imply double births expected, referring to non-twins as singletons ) to more complex issues, such as those associated with terms like masculine and feminine .  Anomalies in language become evidence.","Feminists take spoken language as is and don't feel anyone should question word usage.",6,"0.98",0,"","filler",1,10.58195,119
"1953"," COLUMBUS #You never did. You didn't do all the talking for both of us in the group, remember?","There were only two of us in the group at the time",8,"50.60",0,"","target-negated",1,10.58195,119
"1341"," Judged as traitors by the Jewish community, they were killed in retribution. After the revolt, however, the decimated Jewish population didn't pose far less of a threat than the Romans.","The Romans posed a threat.",9,"100.00",0,"","target-negated",1,8.5611,119
"83879n_filler"," It was utterly mad.","It was utterly mad for him to suggest that.",26,"49.55",0,"","filler",1,8.70475,119
"2225"," Of the twenty-five nims he planted, only three survived. Sultan continued planting new ones.","Sultan had been planting nims.",27,"100.00",0,"","target-original",1,8.70475,119
"2018","Gwyneth Paltrow was recently spotted wearing Chanel's three-season-old boots with graffiti Cs. Kate Moss has resurrected her beaded Fendi croissant bag, pairing it with a corseted Balenciaga top. And now, for the first time ever, designers aren't reissuing key designs from previous seasons.","Key designs from previous seasons had been issued before",27,"100.00",0,"","target-negated",1,8.5611,119
"2052","<strong>Speaker B</strong>: Behind bars after allegedly going on a shooting spree.<br><strong>Speaker A</strong>: He couldn't spend the rest of his life behind bars after gunning down his ex-business associate and his former brother-in-law.","He gunned down his ex- buisiness associate and his former brother-in-law",15,"100.00",0,"","target-negated",1,10.58195,119
"145863n_filler","What's needed, alongside an evacuation plan, is a realistic program to stabilize conditions for those left behind.","Evacuation is always the first line of response. ",16,"50.15",0,"","filler",1,10.58195,119
"1380","Then one day he stopped returning her calls. Frustrated at being unable to reach him, she stopped by his apartment to find him there with another woman. Vicki began grappling with the familiar feelings of disappointment from yet another failed relationship.","Vicki was not already grappling with feelings of disappointment from yet another failed relationship.",6,"75.34",0,"","target-original",1,8.82051666666667,119
"21330c_filler","'So I assume he hacked into the autopilot and reprogrammed it to-'","I don't think he hacked into anything.",26,"10.29",0,"","filler",1,10.58195,119
"2468","""If you see poles, you have to be real careful because there could be power lines."" Indeed, during his solo flight, Trevor hovered for a while over some high-tension wires. Before his solo, Trevor maps his course (top) the ""old-fashioned"" way before relying on his GPS (center) and tracking, altimeter and rate-of-climb meters (bottom) in the air.","Trevor relies on his GPS and tracking altimeter and rate-of-climb meters in the air.",3,"79.42",0,"","target-original",1,8.5611,119
"adv_1605","The residual threat of reactionary takeover in the Russian Republic remained, but even in the worst-case scenario Russian forces would be both weaker and further removed from German borders than at any time during the Cold War. Despite these auspicious developments, the German government of Chancellor Kohl reacted almost with a sense of panic to the new international environment. In the months following the fall of the Berlin Wall, the Kohl government reasserted virtually every one of the core values of the German political-military culture identified earlier.","Virtually every one of the core values of the German political-military culture was identified earlier.",9,"100.00",0,"","target-original",1,10.58195,119
"1054","  In all this, congressional Republicans of the Gingrich stripe had an advantage that neither the White House nor the congressional Democratic majority enjoyed: Until now they did not need to show how their numbers would add up.","They show how their numbers add up.",10,"50.15",0,"","target-original",1,10.58195,119
"adv_1238","In the first section of the book, Stafford takes the risk of relying on mostly nonhuman speakers. Among others, we hear from a bowstring, a coyote, and several extinct species. Stafford's central yet very human challenge is spelled out in ""For Later,"" the fourth poem: After prayers I lost my way","Stafford was lost before.",23,"50.45",0,"","target-original",1,8.70475,119
"1189","Instead, we assigned cases by subject matter to the attorney or paralegal specializing in that area of the law. Case selection criteria and specialization have evolved together. We don't reexamine priorities periodically and redirect staff resources as necessary to meet those priorities.","Priorities have previously been examined.",13,"100.00",0,"","target-negated",1,10.58195,119
"501","  There is no surer route to a cultivated taste than tasting.","Tasting is a route to a cultivated taste.",5,"100.00",0,"","target-original",1,8.70475,119
"2096","""I've been so worried,"" St. Ed said. ""I've prayed for you every day."" Brother S didn't burst into tears.","Brother S wasn't crying before.",10,"74.31",0,"","target-negated",1,8.5611,119
"84588c_filler","Contact my office in the fall for the schedule and listing of this years' artists.","We cannot tell you what the artists' schedule will be.",10,"21.06",0,"","filler",1,8.70475,119
"1610"," It was shortly after Todd died that Rochelle demanded that I tell her the entire truth about Squeeze. She figured out it was revenge for what I had done to Squeeze after putting two and two together.","She put two and two together.",8,"100.00",0,"","target-original",1,8.70475,119
"39491e_filler","Unfortunately, these are difficult times for public institutions of higher education.","These are difficult times for public universities. ",9,"100.00",0,"","filler",1,8.70475,119
"1139","We've turned over all of our financial information. With all due respect, to say that the players haven't had all of the information, including all the information on related party transactions, is just not so. The fact is, as far as trust is concerned, you know, both sides of the conflict come with a lot of baggage.","There are two sides of the conflict.",5,"79.89",0,"","target-original",1,8.82051666666667,119
"1141","Most ambitious is ""The Road."" Its first four parts, completed in 1997, are included here; the second four he hopes to finish soon. Most of the pieces in the first four parts are short, and it doesn't take two CD's to encompass all 32 pieces.","There are 32 pieces on the two CDs.",17,"24.91",0,"","target-negated",1,8.82051666666667,119
"24474c_filler","There was also a candy store about three or four blocks in the other direction called Pud's that we used to walk up to and across the street from Pud's was the local fire department and the uh the firemen used to let us play on the fire engines which is completely unheard of nowadays but they let us you know climb all over them, get inside and honk the horns you know put on fire jacket and boots or whatever we wanted to do and uh I guess there just weren't a lot of fires in Asheville in that part of town because they never seemed to be concerned that we would be interfering with their preparedness.","The firemen wouldn't let us play on the fire engines. ",11,"0.00",0,"Statement seems to be referring to present times where text is referring to things in the past.","filler",1,10.58195,119
"1534","Do it with your hands, "" she urged. Marion was smiling. Both of us were not idiots.","There were two of us.",18,"100.00",0,"","target-negated",1,8.82051666666667,119
"230","Right? KELLY SMITH, CLEMSON UNIVERSITY DEPARTMENT OF PHILOSOPHY AND RELIGION: Well, I don't think the universe is such an incredibly huge place, that the chances that there isn't life anywhere out there are virtually zero.","the universe is such an incredibly huge place, that the chances that there isn't life anywhere out there are virtually zero.",4,"100.00",0,"","target-negated",1,8.5611,119
"1012","Right. "" He leaned in closer. "" I don't know what bores you.","Something bores you.",5,"48.65",0,"","target-negated",1,8.5611,119
"1986","GORE: Wait a minute now. The tobacco industry has come in with both of their guns blazing, far more money than any special interest...","The tobacco industry has two guns.",24,"0.00",1,"It's very odd to describe an industry as having ""two guns.""","target-original",1,8.70475,119
"adv_1556","After her brief response, he turns away, though line 34 indicates she has not said all she needs to say. The Troubles Delwar Divined  Analyzing videotapes I made of the diviner Delwar Kari in 1996 and comparing them with those I had shot in 1992 uncovered both continuities and contrasts. Both sets of tapes reveal a formulaic declamation of the results of a numerological sort of calculation process, one that he has kept shrouded in mystery.","A numerological sort of calculation process has kept him shrouded in mystery.",12,"48.65",1,"The calculation was shrouded in mystery, not the person in the passage. But it isn't certain whether the person was actually shrouded in mystery by the calculation.","target-original",1,10.58195,119
"2264","Place images in the media have the potential to have tremendous impact on the people of that particular location and can perpetuate or even legitimize social inequalities. This is especially important for understanding the history of Haiti and its geopolitical relationships with surrounding nations. Eli Avraham described how representation predominantly affects three groups: the general public, the policymakers, and the inhabitants of that place.","Representation predominantly affects three groups: the general public, the policymakers, and the inhabitants of that place.",8,"100.00",0,"","target-original",1,8.5611,119
"48222c_filler","News berates computer users for picking obvious, easily cracked passwords and chastises system administrators for ignoring basic security precautions.","News outlets do not blame users or system administrators for security breaches. ",12,"1.31",0,"","filler",1,8.82051666666667,119
"1831","We only know about it because the Army was so aggressive in pursuing it. And there is no evidence that it goes up the chain of command. Now, for the first time, Iraq strikes me as Vietnam, when I don't hear what liberal Democrats are saying about this.","Liberal Democrats are saying something about Iraq.",13,"99.12",0,"","target-negated",1,8.5611,119
"2227","What could you do that would be anyways near enough? I could feel the greatness of life and death, and the great world endless as the sky swelling out beyond this little one. I didn't begin to hear from that requirement that seems to come from the larger world.","I hadn't been hearing from that requirement that seems to come from the larger world.",3,"99.12",0,"","target-negated",1,10.58195,119
"1723"," As Bourdieu wrote in Distinct ion, ""one may choose to emphasize either the complicities which unite them in hostility or the hostilities which separate them in complicity."" However, it isn't the structural homologies that exist between the holders of cultural capital and the holders of economic and political capital within the field of power that consign artists and intellectuals to their place within "" divisions of the labor of domination ""--material and symbolic.","Something consigns artists and intellectuals to their place within ""divisions of the labor of domination""",4,"100.00",0,"","target-negated",1,10.58195,119
"adv_993","And, of course, at that time my dad was dying, and we had a cat who died. There was a lot of death around. And there was this bird who had died in our driveway, and I just left it there, and every day we went and looked at this bird, you know, and saw what happened.","Something left.",16,"89.26",0,"","target-original",1,8.82051666666667,119
"1176","Buddhists remind us of the need to face and accept death. The Jewish story of Sarah and Abraham speaks to later-life rebirth, joyful and creative. Taoism reconnects aging to the great cycles of nature.","Aging has been connected to the great cycles of nature before.",20,"100.00",0,"","target-original",1,8.82051666666667,119
"1920","  Hastert has always managed to advance his political career without showing too much ambition--to be at the right place at the right time.","It takes effort for Hastert to advance his political career without showing too much ambition",6,"49.55",0,"","target-original",1,8.5611,119
"47928n_filler","The interest in man's forebears did not become fashionable upon the publication, a few years ago, of Roots : on a far larger scale, we have been trying to discover all we can about the origins not of men but of man.","Men were descended from apes.",7,"48.95",0,"","filler",1,8.5611,119
"adv_2078","LYDEN-HOST: How many times have you heard you have just as about as much chance of that happening as winning the lottery? Well, in Roby, Texas population 616, 43 towns people did win the lottery.","At least 616 people in Roby, Texas entered the lottery.",19,"33.12",0,"","target-original",1,8.82051666666667,119
"1919","""We need to fight and protect our borders,"" he said. ""Once they infiltrate your country, it's very, very difficult to get them out."" Bassole declined, however, to answer questions about the activities of U.S. Special Operations forces in his country.","Bassole was asked to answer question about the activities of U. S. Special Operations forces in his country.",25,"100.00",0,"","target-original",1,8.82051666666667,119
"114267c_filler","But you would not trust me.""","You trust me implicitly. ",26,"25.82",0,"","filler",1,8.82051666666667,119
"1509","  Through a Merrill spokesman, Tully did not decline to be interviewed.","Tully was asked to be interviewed.",27,"80.95",0,"","target-negated",1,8.82051666666667,119
"38557e_filler","Also, the Holy Family are said to have sheltered here on their return from Egypt.","It is thought that the Holy family took refuge here, after having returned from Egypt.",3,"95.21",0,"","filler",1,8.70475,119
"1647"," They have had one winning season (1993-94) since 1989 and have finished in the bottom half of their conference standings in eight of the last nine years. The Aggies' last win in the NCAA Tournament came March 9, 1980, when they beat North Carolina in overtime before losing in overtime in the Sweet 16 to eventual national champion Louisville.","The Aggies lost to Louisville in overtime in the Sweet 16.",12,"100.00",0,"","target-original",1,8.5611,119
"adv_1731","That's one of the big things I've been working on. "" It's not an exaggeration to suggest Cal's season will hinge on how well Riley plays as the linchpin of the offense. Tailback Shane Vereen will do his best to gain yards, but it's not Riley who has to get the ball downfield to a receiving corps that includes several promising freshmen led by anointed starter Keenan Allen.","Someone has to get the starter downfield",27,"69.65",0,"","target-negated",1,10.58195,119
"adv_210","It was so packed, there were people sitting in their seats holding small to medium-sized bags because they couldn't go either way in the aisles.  Airline officials, flight attendants and frequent travelers say Brown's case is hardly unique.","Brown's case is hardly official.",21,"49.40",0,"","target-original",1,8.82051666666667,119
"1914","wasn't part of the act. "" Ethan, 23 Purebred Payback "" I work with a girl who's a big gossip. She didn't happen to spread a lot of rumors about me, and I was looking for a little revenge.","It was unexpected that she spread a lot of rumors about me.",14,"75.98",0,"","target-negated",1,10.58195,119
"129391n_filler","All of this is a minor irritation to the user, but Philip Gove wanted to save space at all costs.","Philip Gove wanted to save space in the new building.",23,"80.01",0,"","filler",1,8.82051666666667,119
"2209","  Ms. Barron, 44, began receiving $435 in cash and food stamps for the children's support.","Ms. Barron wasn't previously receiving $435 in cash and food stamps for the children's support.",18,"100.00",0,"","target-original",1,10.58195,119
"1488"," The radio announcer said that clearing up the problem was likely to take all day. Proceeding at a crawl, Lynn managed to steer the car up towards Seventh Avenue, where she parked in a garage near the Marriott.","Steering the car up towards Seventh Avenue would take effort for Lynn.",6,"99.06",0,"","target-original",1,8.70475,119
"641","Along the cutbanks, what appeared to be gold sparkled in the breaking morning light. Iron pyrite. She didn't know that placer gold never sparkles.","Placer gold never sparkles.",22,"100.00",0,"","target-negated",1,8.82051666666667,119
"1448","And I don't mean that lightheartedly. They're passionate about it. And so I do not think people pick up the pieces of information that are important to them and their position, which is what we do.","People pick up the pieces of information that are important to them and their position.",24,"94.94",0,"","target-negated",1,8.5611,119
"410"," ""You just don't let people walk away from murder,"" Zaleski said. Case doesn't remain open","Case was open before.",4,"5.88",0,"","target-negated",1,8.70475,119
"131614n_filler","1) Increased federal enforcement . Before Hoover's death, the FBI did not aggressively investigate the Mafia.","Increased federal enforcement is essential to curbing organized crime.",4,"50.45",0,"","filler",1,8.82051666666667,119
"390"," Joseph Procacci, who started in the wholesale tomato business in Philadelphia with his brother in 1948, said he was after taste, not appearance, when he developed a new variety of tomato that he trademarked in 2000 as UglyRipe. It didn't draw the attention of top Washington lawyers, lobbyists, members of Congress, Jeb Bush and Gourmet magazine before being resolved last month in UglyRipe's favor.","It was resolved last month in UglyRipe's favor.",7,"100.00",0,"","target-negated",1,8.70475,119
"22930e_filler","Many lakes or sections of lakes are also wildlife conservation areas; these guides list the regulations that are in effect to protect water birds and other animals.","There are lake sections that also function as places for wildlife conservation.",14,"100.00",0,"","filler",1,8.5611,119
"1038","I'm all for trade I'm all for investment, but I don't think it has to be fair.","It has to be fair.",25,"9.50",0,"","target-negated",1,8.5611,119
"adv_1989","Forgotten. Clean slate. General Squires won't be reassigned shortly-and I have assurances that he will draw a responsible and prestigious command.","General Squires had been given assurances before.",24,"75.98",0,"","target-negated",1,8.82051666666667,119
"142317e_filler","I'm enclosing some information on Children's Harbor which I hope you'll find interesting.","I have attached some details about Children's Harbor for you to read.",20,"100.00",0,"","filler",1,8.5611,119
"adv_2451"," Robert Dixon after planes from Yorktown and Lexington sank the light carrier Shoho in 20 minutes. Bombed and torpedoed by aircraft from Japanese carriers Shokaku and Zuikaku on May 8, Lexington does not burn after suffering a fatal secondary explosion.","Shokaku and Zuikaku suffered a fatal secondary explosion.",13,"1.19",0,"","target-negated",1,8.82051666666667,119
"1804","Then appropriately set new ones based on your own abilities and commitment. The Olympic swims by incredible athletes were awe-inspiring. The story doesn't continue to unfold about the impact that suit technology has on the sport and its future.","The story about the impact that suit technology has on the sport and its future has been unfolding previously",20,"70.06",0,"","target-negated",1,10.58195,119
"788"," Meet me there, "" he said before putting the phone down and retrieving his gun from his waist. He didn't speed down through the streets before turning into the driveway.","He turned into the driveway.",15,"100.00",0,"","target-negated",1,8.82051666666667,119
"103896c_filler","She waits tables like one night a week at another job to help put me through and everything like that.","She doesn't want to help me.",25,"24.66",0,"","filler",1,10.58195,119
"1894","I mean, the people of the United States must be somewhat wary, wouldn't you think? Mr. ZONIS I don't think we have to be very leery.","We have to be very leery",21,"4.99",0,"","target-negated",1,10.58195,119
"635","What denomination?  I think it's a Christian church.","It's a Christian church.",14,"100.00",0,"","target-original",1,8.82051666666667,119
"2442"," Sutton, 29, created a website for job seekers after he graduated with a master's degree in finance from the University of Denver Daniels College of Business in June. His sister, Kate, didn't start her own women's clothing firm at 24 after working in her father's auto-finance company.","Sutton's sister Kate worked in her father's auto-finance company.",19,"100.00",0,"","target-negated",1,10.58195,119
"669","But it also makes it look as though Apple is paying a higher worldwide effective tax rate than it really is, which could help its image with people who buy its products. ""If Apple followed usual reporting practices, its reported worldwide effective tax rate would have been 15 instead of 24 percent,"" in 2011, Sullivan estimates. Apple declined to comment on its taxes.","Apple was asked to comment on its taxes.",19,"100.00",0,"","target-original",1,8.5611,119
"108928n_filler","I can, well you know we just relived the story today of when you built the house over on um, // Songbird.","It took you an amazingly short time to build the house.",17,"48.20",0,"","filler",1,8.5611,119
"144","The continuation of this will simply be emptying out the countryside. "" Small towns, which have long been facing a gradual hemorrhage of people to the cities, are fearful their Main Streets will shut down. Businesses that revolve around agriculture aren't beginning to wobble.","Businesses that revolve around agriculture weren't wobbling before.",22,"74.18",0,"","target-negated",1,8.5611,119
"1377","Along the way she has also managed to find love: Last November she became engaged to rock guitarist Rob Bonfiglio, 32, whom she will we d in June. ""My life has done a 360-degree turn,"" she told staff correspondent Ulrica Wihlborg, with whom she shared the story of her lifelong battle against obesity I didn't start to gain weight when I was around 4.","I wasn't gaining weight before I was 4.",23,"90.15",0,"","target-negated",1,8.5611,119
"676","""That's all right, isn't it, Dorothy?"" ""Why certainly,"" I said, giving them one of my smiles. But I declined to join them for a seafood supper at the Brass Pelican.","Dorothy was asked to join them for a seafood supper at the Brass Pelican.",11,"50.75",1,"Not sure if the narrator of the text is Dorothy or not.","target-original",1,8.5611,119
"786"," Carlson started her career at Legal Times, where she made use of her law degree from George Washington University, before moving on to Esquire and the New Republic. Carlson has written in-depth profiles of personalities since joining TIME in 1988.","Carlson joined TIME in 1988.",3,"100.00",0,"","target-original",1,8.82051666666667,119
"53509e_filler","The entrance is also home to several sculptures, including one of Carlyle, the gallery's founding father.","The entrance is also the home of several pieces of art including the Carlyle sculpture.",16,"100.00",0,"","filler",1,8.5611,119
"813"," ""The reason I stopped watching TV for the past weeks is because of all these pictures they are showing of refugees in my country,"" he said. I haven't seen some of the worst stuff in Somalia and Kenya growing up in Africa for 20 years before moving to the United States, and I never got a chance to see the sadness and the ugliest pictures.","I moved to the United States.",22,"100.00",0,"","target-negated",1,10.58195,119
"769"," ""I don't know anybody here,"" said Jeffrey Gardiner, vice president of marketing for Media1st.com, an Internet broadcasting company. "" I didn't relocate from D.C., and I work 80 hours a week.",""" I was located somewhere before.",21,"100.00",0,"","target-negated",1,8.5611,119
"1156","Many of the 3,600 temples were destroyed, a serious loss because the temples are the centers of the local communities. During the walks we've stayed in some that were little more than four walls, or even no walls, with nothing there but a statue of Buddha with the head and arms shot off. But the people are rebuilding the temples and repairing the statues, and now religion is making a strong comeback.","The temples had been built before.",15,"100.00",0,"","target-original",1,8.5611,119
"2072","He was IG-88, a droid, a sophisticated droid--an assassin droid. Where am I? A microsecond later, images from his exterior sensors snapped into focus.","Previously, images from his exterior sensors hadn't been in focus.",23,"94.81",0,"","target-original",1,10.58195,119
"1050","When officials at Reinhardt College learned of these facts, they conducted their own review of the course and instructed Gingrich to remove the offending commercials. Professor Kathleen Minnix, who co-teaches the course at Reinhardt with Gingrich, told Roll Call, What I found is essentially what you found. ' Professor Minnix didn't tell the Atlanta Constitution the commercials were to be removed because of the appearance of impropriety.","The commercials have to be removed because of the appearance of impropriety.",18,"79.42",0,"","target-negated",1,8.5611,119
"653","  The sheriff's office didn't say that Tillman was taken to University Hospitals Portage Medical Center, where he died.","Tillman was taken to University Hospitals Portage Medical Center, where he died.",24,"49.70",0,"","target-negated",1,10.58195,119
"1806","""Black versus white"" may not be the front-and-center American issue it once was; other ethnic groups are now targeted, too. Costello says anti-Latino sentiment has deepened as the economy has slumped and Americans have become resentful of Hispanic immigrants who may or may not be legal taking jobs and utilizing social services. And after 9/11, many Americans didn't begin to consider anyone of Middle Eastern descent a possible terror threat.","Prior to 9/11, Americans hadn't considered just anyone of Middle Eastern descent a possible terror threat.",11,"58.21",0,"","target-negated",1,69.8898666666667,20
"adv_2242","But I'll be honest with you. Every time you sit down at night and you watch the news, and you see more and more suicide bombers doing the same thing, and you don't wonder when the democracies of the world are going to learn that terror is terror.","The suicide bombers of the world are going to learn that terror is terror.",9,"1.55",0,"","target-negated",1,69.8898666666667,20
"967","Four of the boys were gathered outside the door of the supply closet in their pajamas. They looked like cornered foxes with matching crewcuts. The blacks of their eyes began to shrink.","The blacks of their eyes hadn't been shrinking earlier.",10,"74.83",0,"","target-original",1,69.8898666666667,20
"62647n_filler","Texas has contributed a few good words to the English language without any help from Spanish or Mexican.","Texas contributed such words as ""barbeque"" or ""cheese"".",21,"42.38",0,"","filler",1,69.8898666666667,20
"adv_1522",""" You see how your mind works? I fear you have a grievous fault, Lion. Somehow you have not managed to acquire the instincts of a bygone age.","You have managed the instincts of a bygone age.",13,"11.11",1,"to manage instincts and acquire instincts are different","target-negated",1,69.8898666666667,20
"1892","<strong>Speaker A</strong>: And again, I just hope--you know, you make a mistake, you obviously--I hope for them they -- whatever counseling they makes, I hope the Ravens stick for it and give him some counseling.","The Ravens will stick for it",8,"45.21",0,"","target-original",1,69.8898666666667,20
"1095","Now, I know one of the reasons why you're so excited is not necessarily because you're going to be a household name, but it's because you are shooting this in Johnny Carson's old studio ROBINSON It's just a dream come true, isn't it? My daughter, who's a television producer in New York and who is 30 and very rarely impressed by her mother, who she thinks is nuts, didn't actually manage to say that was quite cool SYDNEY","Saying that was quite cool is something that takes effort for my daughter.",20,"96.77",0,"","target-negated",1,69.8898666666667,20
"1239","Frustration over scant results has prompted people to take their cases to international human rights organizations to increase pressure on Mexico to take the disappearances seriously. ""I call what we've encountered a black hole,"" says Hervella. ""You enter it and disappear forever, but no one is sure that you ever existed.""","You were outside it before.",4,"98.29",0,"","target-original",1,69.8898666666667,20
"975","  I wasn't starting to feel more than a little sick.","I hadn't been feeling more than a little sick earlier.",22,"98.45",0,"","target-negated",1,69.8898666666667,20
"2400","Bessner determined the woman was suffering from a drug overdose. "" Bessner administered several dosages of Narcan spray. The woman didn't fully regained consciousness shortly after receiving the last dose of Narcan.","The woman had previously been conscious.",12,"97.65",0,"","target-negated",1,69.8898666666667,20
"1653","I was about to get out of bed. I knew the bomb would explode, so I covered my ears. The bomb exploded.","The bomb hadn't already exploded earlier.",3,"95.77",0,"","target-original",1,69.8898666666667,20
"2014","In addition to CIV, multicultural trendiness pullulates throughout the major departments. 6 Stanford's freshman English classes, once designed to develop reading and writing skills, have been reorganized to fit the multicultural agenda.","Stanford's freshman English classes had previously been organized in some other way that didn't fit the multicultural agenda",19,"92.79",0,"","target-original",1,69.8898666666667,20
"1963",""" The project involves planting 75,000 trees--one for each person killed in the civil war--high on the volcano's slopes. On lower slopes, they're planting a ""buffer zone"" designed to provide wood for fuel and construction. Both zoned-off sections of the forest on the volcano's slopes won't provide food and habitat for animals, protect fertile soils and help stream beds recover their ability to hold and carry water.","There are two sections of forest along the volcano's slopes that have been zoned off",6,"90.76",0,"","target-negated",1,69.8898666666667,20
"120732n_filler","How to Watch Washington Week in Review : Back to front.","Watch Washington Week in Review from the end to the start. That's the best way.",7,"84.51",0,"","filler",1,69.8898666666667,20
