"","id","premise","hypothesis","trial","response","confusing","confusing_reason","type","Answer.condition","Answer.time_in_minutes","anon_id"
"17","421","Thanks to a declining economy and the national mania for ""downsizing,"" Mel loses her job. As she searches-with growing desperation-to find another job, it becomes increasingly apparent that her husband's business is also in trouble.","Mel's husband had an assignment before.",8,98.29,0,"","target-prior",2,8.81745,20
"18","2128","He was heading up something called No Oil, Inc., which was trying to stop Armand Hammer and Occidental Petroleum from digging about 60 wells on Will Rogers State Beach, right there in Santa Monica. I went to hear him talk and we became friends,","We galvanized behind something.",25,95.59,0,"","target-prior",2,8.81745,20
"19","1108"," Then again, given the gridlock on most issues in Washington, the idea of passing any insider trading law in Congress might be wishful thinking.","A spokesman for Mr. Bharara was asked to comment on a possible Supreme Court appeal.",24,16.25,1,"There is no mention of Mr. Bharara in the text.","target-prior",2,5.72861666666667,20
"20","2299",""" What's happening with tendons and soft tissues that we didn't see 10 or 15 years ago? Are we weaker, do we have a softer lifestyle?","We are softer than 10 or 15 years ago.",14,95.4,0,"","target-prior",2,7.11886666666667,20
"21","1617"," Muslims and Croats endorsed independence by 99.4 percent, while the Serbs boycotted a vote their leaders said was illegal.","Women and children suffered abuse and humiliation.",16,7.99,0,"","target-prior",2,8.81745,20
"22","1461","qwq KROFT:","The police were part of this.",18,50,1,"It gives no context and actually doesn't have one coherent word.","target-prior",2,29.2102833333333,20
"23","1856","The haptograph awaits its time. In a year-ten years-a century-it will return.","I have come to know something",19,59.83,0,"","target-prior",2,29.2102833333333,20
"24","367"," The convictions were thrown out after a white man admitted to the murders, but during a retrial, the confession was ruled inadmissible and Pitts and Lee were convicted again.","They spent nine years on death row.",25,46.25,0,"","target-prior",2,5.94691666666667,20
"25","1998","The pilot brought us into position behind and to the left of the bears. Ramsay, like a modern day Buffalo Bill, rifle to his shoulder, leaned out the door, squinted through the scope, and fired a tranquilizer dart into the rump of the first bear.","His tranquilizer gun had been loaded before",27,95.77,0,"","target-prior",2,5.94691666666667,20
"26","947","We don't see them on the street. Again, as we said earlier, we see glimpses of what they might have been, what hopefully they might become.","Tommy is an animal.",13,7.52,0,"","target-prior",2,8.81745,20
"27","2456"," "" It is only because you have been kind to me and always treated me with respect, that I would tell you that which I would dare not speak of to another.","Tilly spoke.",14,50,1,"No mention of Tilly in the text.","target-prior",2,5.72861666666667,20
"28","1740","FishEasy ST, $129; FishEasy Port Photograph A hefty (depth) charge. // able, $199.","Hooking a worm and casting a line with Dad out on a peaceful lake is a bonding experience.",18,81.18,1,"The context text is a mix of words and numbers and doesn't say anything coherent.","target-prior",2,8.81745,20
"29","960","And at that point, worrying about my parents' relationship seemed as unnecessary as finding the answer to a puzzle on a stupid TV show. They were fine, holding hands or not.","We previously had been driving.",19,80.83,0,"","target-prior",2,8.81745,20
"30","1040","Sometimes, like it or not, I dream I am sick with the Plague and living in that smoky little hut with the old woman. ....","I am very doubtful, untrusting.",7,55.69,0,"","target-prior",2,7.93391666666667,20
"31","129"," I tried to start the car, but the engine didn't make a sound.","I was turning the key earlier.",8,99.4,0,"","target-prior",2,7.93391666666667,20
"32","956","On Aug. 1 during an wide-ranging interview about the coming season, it was about five feet tall. Smith was proud of his horticultural skills.","He hadn't been growing the plant before January 2008.",20,91.93,0,"","target-prior",2,7.5282,20
"33","684","In the taxi on the way to Lutce, I ponder the question of pork. ","Making pork for dinner takes courage for A-MA.",9,79.3,1,"I don't know who or what A-MA is.","target-prior",2,29.2102833333333,20
"34","1174"," Milwaukee:","Chris Ford and Sherman Douglas were part of the same team earlier.",12,50,1,"It just gives the name of a city and no context.","target-prior",2,29.2102833333333,20
"35","616","Two months earlier, Mattel rescinded its $5.2 billion offer to buy Hasbro following Hasbro's insistence the deal would never clear antitrust hurdles. ","Nothing has changed.",21,1.55,0,"","target-prior",2,9.24121666666667,20
"36","1486","Without them, I cannot speak for the future of Gwynedd. "" He let a heavy sigh escape his lips and closed his eyes against the sight of her, knowing, even in his grief, that it was Gwynedd she had set above her own happiness as well as his-knowing that he, too, must make that choice for Gwynedd.","Touching a hand to his sleeve would take courage.",17,31.45,0,"","target-prior",2,8.55806666666667,20
"37","1211"," ISE resources include, but are not limited to: science centers and museums and any other nature-related exhibit; television programs; film and broadcast media; digital media and gaming; and youth, community, and after-school programs (CAISE).","I collected the results and reported back.",25,65.89,0,"","target-prior",2,9.24121666666667,20
"38","1338","And tonight, you'll understand why, as Lynn Sherr takes you on a rare visit into a private world--a place that often holds the key to a black man's success, even his very survival. It's been written that men are what their mothers made them.","What you're about to see is a testament.",3,80.72,0,"","target-prior",2,8.81745,20
"39","2289","They didn't even have the guts to go down swinging. KWAME-HOLMAN:","Capture of the airfield will help prevent high level Iraqi leaders from leaving the country.",24,52.25,1,"The text doesn't give any context to the statement at all.","target-prior",2,7.93391666666667,20
"40","2242","But I'll be honest with you. Every time you sit down at night","The democracies of the world are going to learn that terror is terror.",27,50,1,"The text isn't a complete thought and doesn't mention anything about terror or democracies.","target-prior",2,7.93391666666667,20
"41","268"," The senior executive at Glenwood, who was deeply involved in the company's political activities and campaign contributions, was also cooperating with federal authorities, according to the complaint.","Alan Levine, a lawyer for Glenwood Management, was asked to comment on the complaint.",11,100,0,"","target-prior",2,8.81745,20
"42","138","<i>(No context.)</i>","Scientists didn't understand the molecular changes invovled in nuclear reprogramming.",12,0,1,"There is no context at all.","target-prior",2,8.81745,20
"43","2167"," ""Let the little children come to me,"" thought Fleur, rubbing her hands over her goosefleshed arms.","Fleur is a child.",11,25.04,0,"","target-prior",2,5.72861666666667,20
"44","1102","Seated in his saddle, the knight San Alberto asked the dying man, "" In which abbey? In which direction?","It took effort for the dying man to whisper the murderer's name.",24,79.06,0,"","target-prior",2,8.55806666666667,20
"45","911","( n22 ) Evidently, in more than one sense the area of good governance tends to invite double standards.","Having a low corruption profile is an indicator of good governance.",15,16.9,0,"","target-prior",2,29.2102833333333,20
"46","465","J. SCOTT TRUBEY AGRICULTURE Bird flu spreads at Minn. turkey farms A ninth Minnesota turkey farm has been hit by a form of bird flu that's deadly to poultry, this time in a large Jennie-O-Turkey Store operation that has 310,000 turkeys, federal authorities and company officials said Wednesday.","Something infected eight other farms in Minnesota.",16,100,0,"","target-prior",2,5.94691666666667,20
"47","993","And, of course, at that time my dad was dying, and we had a cat who died. There was a lot of death around.","Something happened.",25,100,0,"","target-prior",2,29.2102833333333,20
"48","1929"," In seizing his own Mideast moment, Obama offered a speech that was in some ways notable for what he did not mention.","Obama attempted to mention Saudi Arabia",19,17.8,0,"","target-prior",2,5.94691666666667,20
"49","1739","Well, there was no war. Obviously, the US military was there, but we didn't wage war.","Iraq is a country.",20,100,0,"","target-prior",2,8.81745,20
"50","2301","After Edward died and it didn't seem like she was going to find somebody, some of us here wrote to her, you know, and what I said was:' You should come back. Come back to us and live with all your friends in Canterbury. '","She couldn't come back to Canterbury.",16,7.28,0,"","target-prior",2,9.24121666666667,20
"51","225","Kids as young as ten are using illegal bodybuilding drugs to improve their athletic performance as well. A government study from 2000 reported that an average of six out of one hundred twelfth-grade males had used steroids at least once.","three of one hundred twelfth-grade females had tried them as well.",9,36.68,0,"","target-prior",2,8.55806666666667,20
"52","1168","In September, OSHA proposed cutting in half the permissible levels of exposure to crystalline silica at work sites. Minnesota recently began testing for crystalline silica and other fine particles at mines and along a busy haul route.","Air-quality standards for sand mining have been previously established.",19,97.88,0,"","target-prior",2,5.72861666666667,20
"53","342","Officials reasoned the farmers weren't paying back the debts anyway, and foreclosing on them was difficult and time consuming. The state did reclaim a few farms before it gave up.","that land has been sold before.",20,95.96,0,"","target-prior",2,9.24121666666667,20
"54","196","First Meridian. which is contesting the charges in court.","the fees for these plans were its sole source of income.",4,15.71,1,"There are no plans mentioned in the text at all.","target-prior",2,9.24121666666667,20
"55","1423","A tall man wearing camouflage clothes and a Crocodile Dundee hat steps out of the driver's side. He nods as they approach.","Her mother would have said something about all this.",21,63.46,0,"","target-prior",2,5.94691666666667,20
"56","2195","It could get her into a lot of trouble and by association, him, too. CHAPTER 2","Humans are life-forms.",8,100,0,"","target-prior",2,7.5282,20
"57","1470","SEN-SAM-NUN: During the questioning period, I would have felt a lot better about it if I had heard the Democrats ask the White House counsel some tough questions and some poignant questions and would have felt a lot better if the Republican side had asked the House managers some tough questions. They were really softballs thrown right over the middle of the plate on both sides and perhaps that's OK, but it did give the sense of real partisanship.","The Senate has done pretty well so far.",5,60.85,0,"","target-prior",2,8.55806666666667,20
"58","545","But by then, Drew says, there were strains in the marriage. Mr-PETERSON:","Our relationship didn't deteriorate before.",6,7.99,0,"","target-prior",2,8.55806666666667,20
"59","104","And I think George is absolutely right, they're going to start moving for delays. But they've got to figure out what kind of delays they go for and how much they can afford to possibly alienate some Democratic senators who want to go ahead and get this thing over with.","what they faced in the House is a tightrope.",4,88.23,0,"","target-prior",2,8.55806666666667,20
"60","2413","On the landside transit level near a main terminal entrance, vintage gray and red seating has been removed in favor of new couches and chairs, some with charging stations. Greenery has been added to make it more "" warm and welcoming.","The area has been painted.",3,61,0,"","target-prior",2,9.24121666666667,20
"61","877"," Many strands of contemporary thought, including those embraced by ""deep greens"" and the far left, express aspects of such discontent.","Something has become the lighting rod for this fury.",6,55.24,1,"The discontent and the fury seem like different things but perhaps they are referencing the same thing.","target-prior",2,7.11886666666667,20
"62","1710","<strong>Speaker B</strong>: what's going to come out of this, not because of Democrats, but because people, Trump supporters and other things, you showed up at ours, we're going to show up at yours. this only gets worse.","Someone has been inciting the violence.",14,91.02,0,"","target-prior",2,7.5282,20
"63","74","And again. Getting close to the court now, she watched the ball machine spitting the balls out while Bryan with his increasingly powerful arms rolled the streamlined chair rapidly from one side to the other.","Something was placing the balls back on the other side just where he wanted them.",11,50.6,0,"","target-prior",0,9.69083333333333,25
"64","467","Tartars and Arab clans / tribes exemplify this stage well. Such an inquiry can be either light-bearing or fruit-bearing (Pigou, 1946).","In the analysis of human society, soemthing dominates.",24,49.85,0,"","target-prior",0,12.77305,25
"65","2123","It may well be that Brissot believed his own rhetoric and thought that the French army would be welcomed abroad as' armed liberators'. But by choosing war, Brissot and the Girondins--whether they understood the risks or not--were taking a path towards internal terror.","Someone took on political leadership at the height of the conflict as a member of the Committee of Public Safety to defend the embattled Republic.",9,51.05,0,"","target-prior",0,12.77305,25
"66","1732","KYRA PHILLIPS: No.","Someone fills things out for little kids birthday clubs",13,48.95,0,"","target-prior",0,12.77305,25
"67","829","When Prince came, he was at his height--PRINCE in capital letters. And when you walked onto the dance floor, you looked all the way up at the ceiling, 50 feet up, and you saw the second floor.","The entire second floor was accessible earlier.",12,50.6,0,"","target-prior",0,9.69083333333333,25
"68","626","Sonia considers herself "" good at languages. "" She has an ear for them.","Sonia is Italian.",23,50.15,0,"","target-prior",0,9.69083333333333,25
"69","1047","If this issue is so one-sided and you truly are the majority, why is it your own employer, the Heritage Foundation-a national think-tank, conservative-takes no stand on this issue and, in fact, offers no advice on this public policy question for the White House? Why?","Their contributer base and their member base is split on this issue.",3,73.27,0,"","target-prior",0,12.77305,25
"70","1160"," As he was securing a separation and divorce from his first wife, Engler had what might be called an active social life, leading to the same sort of rumors about womanizing that have plagued Clinton.","Engler had been married before.",13,19.17,0,"","target-prior",0,20.6059166666667,7
"71","433","I haven't read but two or three pages when I look up and see that Mrs. Randolph is sleeping. And now that I've stopped yelling, I can also hear her snoring, a ruffled kind of breathing.","The book was open before.",14,6.24,0,"","target-prior",0,20.6059166666667,7
"72","2235","<i>(No context.)</i>","Our men hadn't been drumming before.",10,58.21,0,"","target-prior",0,9.5097,7
"73","474","They won't be able to sit in circle time. They won't have any idea that the rules apply to them.","Something often brings the child to first attention.",20,66.88,1,"Not sure who the rules are suppose to apply to","target-prior",0,13.7814666666667,7
"74","1242","Bea Gaddy, activist for the homeless, Baltimore, Maryland A woman who had been with my grandparents for years came to help out with our holiday dinner.","The turkey was not on the floor beforehand.",19,100,1,"This is confusing as there is no mention of a turkey","target-prior",0,16.0125,7
"75","74","And again. Getting close to the court now, she watched the ball machine spitting the balls out while Bryan with his increasingly powerful arms rolled the streamlined chair rapidly from one side to the other.","Something was placing the balls back on the other side just where he wanted them.",19,74.18,0,"","target-prior",0,10.92935,7
"76","657","What he's doing is totally and completely normal: He's discovering his body, and discovering that rubbing his penis feels good. There's nothing wrong with that.","You expect him to feel bad or ashamed about the behavior.",4,84.93,0,"","target-prior",0,9.5097,7
"77","1047","If this issue is so one-sided and you truly are the majority, why is it your own employer, the Heritage Foundation-a national think-tank, conservative-takes no stand on this issue and, in fact, offers no advice on this public policy question for the White House? Why?","Their contributer base and their member base is split on this issue.",21,0.38,0,"","target-prior",0,9.44943333333333,7
"78","1262","He's terminated this year. That means the rest of his contract gets thrown out the door.","He had several million dollars.",12,70.06,1,"There is no mention of money in the text","target-prior",0,13.7814666666667,7
"79","1605","The residual threat of reactionary takeover in the Russian Republic remained, but even in the worst-case scenario Russian forces would be both weaker and further removed from German borders than at any time during the Cold War. Despite these auspicious developments, the German government of Chancellor Kohl reacted almost with a sense of panic to the new international environment.","The Kohl government asserted virtually every one of the core values of the German political-military culture before the fall of the Berlin Wall.",16,30.35,0,"","target-prior",0,20.6059166666667,7
"80","2090","Edward: What do you mean? Father Abbott:","King Henry was alive before yesterday.",18,45.51,1,"Nothing was said about the King so nothing to base the statement on","target-prior",0,13.7814666666667,7
"81","1227"," At the time he attaches no significance to his father's visit to the counter of a domestic airline before checking in for his international flight, but he knew even then with the deaf-and-dumb intuition of a child that his father would not be coming back, ever.","His father kissed them and promised them gifts on his return.",23,63.61,0,"","target-prior",0,13.7814666666667,7
"82","2111","WRITER: I lost a brother in the recent revolution.","He was alive previously.",26,100,0,"","target-prior",0,13.7814666666667,7
"83","1904"," p191","It took effort for me to say ""amazing""",7,73.14,1,"I'm not sure what p191 is suppose to stand for","target-prior",0,10.5699166666667,7
"84","626","Sonia considers herself "" good at languages. "" She has an ear for them.","Sonia is Italian.",17,0.46,0,"","target-prior",0,10.92935,7
"85","2078","LYDEN-HOST: How many times have you heard you have just as about as much chance of that happening as winning the lottery?","At least 43 people in Roby, Texas entered the lottery.",14,99.97,0,"","target-prior",0,9.5097,7
"86","1230"," Still, after Johnson was fired he didn't get another big league managerial job until the Cincinnati Reds hired him in May 1993.","Johnson was swept by the Atlanta Braves.",16,63.61,0,"","target-prior",0,9.5097,7
"87","2123","It may well be that Brissot believed his own rhetoric and thought that the French army would be welcomed abroad as' armed liberators'. But by choosing war, Brissot and the Girondins--whether they understood the risks or not--were taking a path towards internal terror.","Someone took on political leadership at the height of the conflict as a member of the Committee of Public Safety to defend the embattled Republic.",19,71.95,0,"","target-prior",0,9.44943333333333,7
"88","1400","DR. SEUSS","You think somethign about the cat wearing a hat.",18,99.12,0,"","target-prior",0,28.2052333333333,7
"89","682"," Mr. Chapin, 38, knows that many people find this kind of stuff laughable in an age of audioanimatronic theme parks.","Updating that many people find this kind of stuff laughable in an age of audioanimatronic theme parks is forced upon Mr. Chapin.",19,1.76,0,"","target-prior",0,28.2052333333333,7
"90","1737"," Or was Inner Child reading too much into it?","The smuggler was a person",27,83.1,0,"","target-prior",0,28.2052333333333,7
"91","1261","He asked Kushal to identify himself. ""Did you make this message?""","The captain's hand was closed before.",14,0.31,0,"","target-prior",0,12.6592333333333,7
"92","1427"," Final topic, here.","Usama bin Laden did something.",5,99.94,0,"","target-prior",0,10.5699166666667,7
"93","588","Sometimes she came right from the set, still flushed, stinking of sex, in shorts and a halter top, and she held his hand until his racing heart slowed to a regular pace. He didn't like it, his peek into her world; it scared the hell out of him.","She did it somehow.",6,100,0,"","target-prior",0,10.5699166666667,7
"94","1733","I think it's, unfortunately, very easy to fool girls into a kind of trafficking situation because people are--they're preying on hope, really. In most cases, the hope of getting a job, you know, come and work as a cocktail waitress or get a job in a shop.","Someone is being kidnapped",8,100,0,"","target-prior",0,16.0125,7
"95","188","<strong>Speaker B</strong>: They're going to have to pay their creditors $1 billion on June 1st. They don't have the money right now.","they will get the money.",10,81.64,0,"","target-prior",0,16.0125,7
"96","210","It was so packed, there were people sitting in their seats holding small to medium-sized bags because they couldn't go either way in the aisles. ","Brown's case is hardly unique.",13,4.67,0,"","target-prior",0,10.5699166666667,7
"97","580","The number of outlets selling Huawei globally increased by 116% to 35,000 stores as of May this year, the company said. ","Huawei's operating margins somehow plummeted six percentage points to 12% the first half of this year compared to the same period in 2015.",16,2.7,0,"","target-prior",0,10.5699166666667,7
"98","393"," Professor Skeel, the son of a teacher and an Air Force doctor, said he had ""zero"" experience of religion while moving six times with his father's deployments.","He entered the University of North Carolina in 1979.",18,56.13,0,"","target-prior",0,10.5699166666667,7
"99","1805"," ENGLEHORN looks with despair at the THICKENING FOG ahead.","He hadn't previously been spinning the wheel",24,0.38,0,"","target-prior",0,9.5097,7
"100","1631"," Don't tell me you started a tech firm here before us.","Lily looks over her shoulder.",12,82.09,0,"","target-prior",0,10.5453166666667,7
"101","1891","If the mandate was struck down and the $350 billion lost, what would happen to the insurance industry, Justice Alito asked. Deputy Solicitor General Kneedler said the justices should confine their analysis to the text of the statute, or risk becoming a kind of shadow budget committee.","The Medicaid expansion in the reform law could provide some reimbursement to insurance companies.",23,4.1,0,"","target-prior",0,28.2052333333333,7
"102","1731","That's one of the big things I've been working on. "" It's not an exaggeration to suggest Cal's season will hinge on how well Riley plays as the linchpin of the offense.","Someone has to get the ball downfield",24,100,0,"","target-prior",0,28.2052333333333,7
"103","2047"," The company denies that it found any problems with designs for the waste vessels before commissioning their construction.","Bechtel fixed all the welds",18,1.5,0,"","target-prior",0,10.5453166666667,7
"104","90"," Shares of the top 26 restaurant companies have seen their stocks lose an average 49.3% of their value from their highest points over the past 52 weeks.","The 46.5% decline of the Standard & Poor's 500 from its 52-week high is a pullback.",4,95.14,0,"","target-prior",0,16.0125,7
"105","2016","Through the 1960s and 1970s investments and purchases by NASA, the Pentagon, and the National Science Foundation helped to sustain the PV industry and gave America leadership in world sales. In 1982 federal support for renewable energy was cut deeply, and within three years Japan became the world leader in PV sales.","The US previously had the lead in sales in the PV industry",6,100,0,"","target-prior",0,16.0125,7
"106","607"," All the debate can finally be laid to rest.","Something happened to Jar Jar Binks after Revenge of the Sith, and he's been soemthing doing since Return of the Jedi.",7,25.43,1,"I know nothing about the show that involves the Jedi other then that is where Darth Vater charter was from so I am confused aout the statement.","target-prior",0,16.0125,7
"107","2015"," In a few cases, patients might still develop those diseases in future, but that was far from certain.","The mutatation had previously been classified as a risk factor",27,97.45,0,"","target-prior",0,9.5097,7
"108","1732","KYRA PHILLIPS: No.","Someone fills things out for little kids birthday clubs",16,89.35,0,"","target-prior",0,9.44943333333333,7
"109","1059","Lester also noted that research on group dynamics indicates that increasing the size of the group eventually increases the chances that a dominant member will emerge and force conformity from the other group members. Thus, there is a limit to the size of a group for effective functioning.","Four to ten subselves is ideal.",6,81.52,0,"","target-prior",0,12.6592333333333,7
"110","450","But that seems too strong. The accepted expression, ""Pitie-de-Nostre-Seigneur,"" because it is plurivocal, is undoubtedly better.","Something awakens the spectator's piety.",8,68.13,0,"","target-prior",0,12.6592333333333,7
"111","1699","<i>(No context.)</i>","Some company uses female body parts to push product.",10,100,0,"","target-prior",0,12.6592333333333,7
"112","1863","<i>(No context.)</i>","Segovia couldn't determine if Gould had gunpowder burns on his hands",11,25.04,0,"","target-prior",0,12.6592333333333,7
"113","1046","Ellie clipped coupons like crazy, and called up their credit card companies to ask for lower APRs. Two decades later, Ellie travels the world for speaking engagements and has authored 14 books on personal finance.","The struggles of those newlywed years have inspired everything that followed.",21,97.45,0,"","target-prior",0,20.6059166666667,7
"114","1751","Who doesn't need to get away from it all once in a while? I could use a break, and you probably could too.","A vacation centered around the beauties of space and the night sky is a choice for an amateur astronomer or astronomy enthusiast",22,97.98,0,"","target-prior",0,20.6059166666667,7
"115","1766","Not so anymore. Now, 125 means 125.","Brian Claar was aware of the change",3,100,0,"","target-prior",0,28.2052333333333,7
"116","1334"," The Chandela Rajputs who are responsible for the artful yet dizzyingly ornate temples have created a salacious smorgasbord of eye candy.","The famous Taj Mahal is a sight.",7,90.15,0,"","target-prior",0,28.2052333333333,7
"117","829","When Prince came, he was at his height--PRINCE in capital letters. And when you walked onto the dance floor, you looked all the way up at the ceiling, 50 feet up, and you saw the second floor.","The entire second floor was accessible earlier.",25,82.76,0,"","target-prior",0,10.92935,7
"118","1105","<strong>Speaker A</strong>: And so this is Louis C.K. on ""Saturday Night Live""","It is hard for you to talk about religion in this.",3,41.35,1,"I don't know who CK Louis is","target-prior",0,12.6592333333333,7
"119","1522",""" You see how your mind works? I fear you have a grievous fault, Lion.","Acquiring the instincts of a bygone age takes effort.",24,87.56,0,"","target-prior",0,10.5453166666667,7
"120","1910","Now, if we really believe that- and we must, surely, if we set aside some time to pray, affirm God's (or Jesus') loving presence and offer ourselves to him to do in us all he wants.","God made an attempt to purify us",17,92.25,0,"","target-prior",0,12.6592333333333,7
"121","686","But the twinkle in his eye masks toughness, arrogance, even ruthlessness. He has not stayed on top of Uganda by being soft.","Securing broad international support while defying Western pressure for multi-party democracy takes effort for Museveni.",22,100,0,"","target-prior",0,12.6592333333333,7
"122","1207"," DH Frank Thomas hit.212 in June and is still trying to find his stroke after last year's biceps injury.","DH Frank Thomas hit.340 with 12 home runs and 22 RBI in June.",6,0,0,"","target-prior",0,10.5453166666667,7
"123","1153","I'm not looking for a--a colony on the moon. I think the cost of that would be in the hundreds of billions, if not trillions.","Housing in the US has previously been built.",26,100,0,"","target-prior",0,10.5699166666667,7
"124","365"," After all, once businesses have a full range of tech tools, they don't need to keeping boosting budgets to buy tons of new stuff.","They needed an upgrade.",7,86.37,0,"","target-prior",0,10.5453166666667,7
"125","467","Tartars and Arab clans / tribes exemplify this stage well. Such an inquiry can be either light-bearing or fruit-bearing (Pigou, 1946).","In the analysis of human society, soemthing dominates.",8,99.25,0,"","target-prior",0,9.44943333333333,7
"126","178","THEORY AND HYPOTHESES Initially, a model of the expected relationship between IS unit control system variables and the direction and level of the planned goal-related effort of IS professionals is presented in this section.","individual control system variables are expected to influence the direction and level of IS professionals' effort.",3,75.6,1,"Not sure what this text is talking about so very confused","target-prior",0,13.7814666666667,7
"127","130","And she approached Olympia Dukakis, with whom she had acted as well, to play Marian, the wife of the man who becomes Fiona's new suitor. ","""Away From Her"" wasn't shooting before early last year.",7,54.94,0,"","target-prior",0,20.6059166666667,7
"128","2439"," Betty plunged into what appeared to be the mouth of a cave.","Shannon previously had her footing.",23,0,0,"","target-prior",2,20.28975,11
"129","2299",""" What's happening with tendons and soft tissues that we didn't see 10 or 15 years ago? Are we weaker, do we have a softer lifestyle?","We are softer than 10 or 15 years ago.",25,81.52,0,"","target-prior",2,20.28975,11
"130","877"," Many strands of contemporary thought, including those embraced by ""deep greens"" and the far left, express aspects of such discontent.","Something has become the lighting rod for this fury.",3,67.3,0,"","target-prior",2,20.28975,11
"131","1710","<strong>Speaker B</strong>: what's going to come out of this, not because of Democrats, but because people, Trump supporters and other things, you showed up at ours, we're going to show up at yours. this only gets worse.","Someone has been inciting the violence.",12,100,0,"","target-prior",2,8.35055,39
"132","2195","It could get her into a lot of trouble and by association, him, too. CHAPTER 2","Humans are life-forms.",14,100,0,"","target-prior",2,8.35055,39
"133","956","On Aug. 1 during an wide-ranging interview about the coming season, it was about five feet tall. Smith was proud of his horticultural skills.","He hadn't been growing the plant before January 2008.",13,54.64,0,"","target-prior",2,8.35055,39
"134","1486","Without them, I cannot speak for the future of Gwynedd. "" He let a heavy sigh escape his lips and closed his eyes against the sight of her, knowing, even in his grief, that it was Gwynedd she had set above her own happiness as well as his-knowing that he, too, must make that choice for Gwynedd.","Touching a hand to his sleeve would take courage.",20,24.91,0,"","target-prior",2,12.4749833333333,39
"135","989","I have a little thing for her. GOLD","You can keep the show on in some way.",25,63.03,1,"The statement sounds sensible but has no apparent relevance to the initial text.","target-prior",2,9.81193333333333,39
"136","2066","Ainge owns the school's all-time scoring record with 2,467 points, set before the three-point line existed in college. Last season, BYU reached the second round of the NCAA tournament for the first time in eight appearances since 1993.","Fredette talked to Ainge",4,64.61,0,"","target-prior",2,8.35055,39
"137","1102","Seated in his saddle, the knight San Alberto asked the dying man, "" In which abbey? In which direction?","It took effort for the dying man to whisper the murderer's name.",10,94.47,0,"","target-prior",2,12.4749833333333,39
"138","104","And I think George is absolutely right, they're going to start moving for delays. But they've got to figure out what kind of delays they go for and how much they can afford to possibly alienate some Democratic senators who want to go ahead and get this thing over with.","what they faced in the House is a tightrope.",17,100,0,"","target-prior",2,12.4749833333333,39
